name,category,latitude,longitude
Gubbalala Cross,bus_stop,12.8844598,77.5516935
Konanakunte Cross,bus_stop,12.8905128,77.5646755
Metro Hospital,hospital,12.8915893,77.560715
Shobha Tulip JP Nagara,bus_stop,12.8977428,77.585959
Gubbalala School,school,12.8886669,77.5411424
State Bank of India,bank,12.9019316,77.5611814
Insight Academy,school,12.8929689,77.5596739
Chunchaghatta,bus_stop,12.8854954,77.5750342
Reliance Smart Point,shopping,12.8830441,77.565967
Adithya Nagara,bus_stop,12.8760626,77.5737784
Vinayaka Nagara Telecom Layout,bus_stop,12.8993288,77.5913849
MK Ahmed Bazar,shopping,12.9052591,77.5951539
Kudlu Gate,bus_stop,12.8895775,77.6394582
Taralu Estate,bus_stop,12.7853732,77.5341017
State Bank of India,bank,12.9061186,77.5418693
Government School,school,12.9056118,77.5434456
South Indian Bank,bank,12.872045,77.5931718
Unnamed,shopping,12.9044398,77.649016
St Francis ICSE school,school,12.8889212,77.6252612
Bommanahalli,bus_stop,12.904862,77.6300651
Singasandra,bus_stop,12.8773381,77.6469899
Sri Sapthagiri Clinic,hospital,12.8736928,77.6449626
Aralekatte Bus Stop,bus_stop,12.8797812,77.6245363
Yelenahalli Bus Stop,bus_stop,12.8678276,77.6159932
Government Primary School Yelenahalli,school,12.867378,77.6162668
Garavebhavipalaya,bus_stop,12.8962931,77.6357338
Apollo Clinic,hospital,12.8517246,77.6681472
Smart Supermarket,shopping,12.8948991,77.6093817
Daily fresh supermarket,shopping,12.8946896,77.6092646
Nilgiri's,shopping,12.841522,77.6475948
Wipro Gate,bus_stop,12.8385045,77.6586055
More,shopping,12.9055748,77.6057437
