location,latitude,longitude,address
Kalena Agrahara,12.8658068,77.5911918,"Kalena Agrahara, Gottigere, Yelenahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560076, India"
Garudachar Palya,12.9899098,77.7011259,"Garudachar Palya, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, India"
EPIP Zone,12.9781922,77.7246451,"EPIP Zone, Bharath Aikya Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560066, India"
Dasanapura,12.7467724,77.7742876,"Dasanapura, Attibele, Anekal, Bengaluru Urban, Karnataka, India"
Kasavanhalli,12.9047595,77.6759172,"ICICI Bank, No-34/5, Aadeshwar Chambers, Kasavanhalli Main Road, Central Jail Road, Kasavanahalli, Kaikondrahalli, Kasavanahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560035, India"
Sanjay nagar,12.9578658,77.6958748,"Sanjay Nagar, Ashwath Nagar, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, India"
Yeshwanthpur,13.0176937,77.5555009,"BMTC Depot 8 (Yeshwanthpura), Subedarpalya, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
Chandapura,12.8009043,77.7114908,"Chandapura, Tirumagondahalli, Anekal, Bengaluru Urban, Karnataka, 560081, India"
Nagarbhavi,12.9512353,77.519054,"Nagarbhavi, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
Ramamurthy Nagar,13.0120218,77.6777817,"Ramamurthy Nagar, Ramamurthy Nagara, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560016, India"
Malleshwaram,13.0027353,77.5703253,"Malleswaram, Malleshwaram, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560003, India"
Akshaya Nagar,13.0985378,77.5656142,"Akshaya Nagar, Atturu, Attur, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560064, India"
Kadugodi,12.9957428,77.7579489,"Whitefield (Kadugodi), SH35, Belathur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560067, India"
LB Shastri Nagar,12.9660384,77.6708961,"L.B Shastri Nagar, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, India"
Kudlu Gate,12.8895614,77.63947,"Kudlu Gate, Hosur Road, GarvebhaviPalya, Garvebavi Palya, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560068, India"
8th Phase JP Nagar,12.9119148,77.5798871,"JP Nagar 1st Phase, JP Nagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
